,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,sawai madhopur,35.8104,139.1925,64.0,63,90,5.75,JP,1620702809
85,teahupoo,-17.8333,-149.2667,86.0,62,75,11.5,PF,1620702809
86,khatanga,71.9667,102.5,28.08,78,22,10.07,RU,1620702809
87,marystown,47.1666,-55.1483,37.67,87,8,15.48,CA,1620702809
88,ales,44.1333,4.0833,53.01,93,88,1.01,FR,1620702810
89,bluff,-46.6,168.3333,46.99,94,100,11.99,NZ,1620702810
90,clocolan,-28.9137,27.5656,45.27,62,0,4.32,ZA,1620702810
91,avarua,-21.2078,-159.775,78.8,73,75,6.91,CK,1620702811
92,glogow,51.6636,16.0845,61.0,74,65,1.99,PL,1620702811
93,payakumbuh,-0.2202,100.6308,82.26,77,92,1.79,ID,1620702811
94,sioux lookout,42.7333,-96.2336,52.0,46,1,8.05,US,1620702811
95,mount gambier,53.6597,-1.8537,45.0,85,2,1.99,GB,1620702792
96,sidi bin nur,5.0829,19.8781,71.02,85,93,0.89,CF,1620702812
97,maceio,-9.6658,-35.7353,75.2,94,75,6.91,BR,1620702812
98,cape town,-36.413,-71.9028,41.0,100,0,3.44,CL,1620702813
99,araceli,10.5529,119.9913,84.24,75,96,8.08,PH,1620702813
100,tursunzoda,38.5144,68.2333,66.2,72,32,4.47,TJ,1620702814
101,pitimbu,-7.4706,-34.8086,73.4,100,20,5.75,BR,1620702819
102,marchena,37.329,-5.4168,53.01,87,0,5.75,ES,1620702819
103,constitucion,-35.3333,-72.4167,53.02,64,0,5.23,CL,1620702819
104,atuona,-9.8,-139.0333,80.24,73,1,23.02,PF,1620702820
105,skelleftea,64.7507,20.9528,39.99,100,90,3.44,SE,1620702820
106,toamasina,-18.1667,49.3833,69.8,100,20,4.45,MG,1620702820
107,yamada,39.4667,141.95,57.2,64,68,4.76,JP,1620702820
108,tasiilaq,65.6145,-37.6368,24.8,93,90,6.91,GL,1620702821
109,idrija,46.0028,14.0306,53.01,65,39,1.95,SI,1620702821
110,grand river south east,38.8755,-109.5012,53.6,32,1,6.91,US,1620702821
111,sao gabriel da cachoeira,20.5113,76.2129,82.87,42,100,16.37,IN,1620702822
112,neiafu,-18.65,-173.9833,78.8,73,75,10.36,TO,1620702822
113,alihe,50.5667,123.7167,55.78,51,100,13.8,CN,1620702822
114,ponta do sol,38.7333,-28.2667,58.12,95,39,24.58,PT,1620702823
115,vikhorevka,56.1201,101.1636,55.4,30,56,6.71,RU,1620702823
116,kaitangata,-46.2817,169.8464,47.46,91,100,12.75,NZ,1620702823
117,brcko,44.8728,18.8083,57.0,100,0,1.14,BA,1620702604
118,souillac,-20.5167,57.5167,69.8,94,40,5.75,MU,1620702823
119,berlevag,70.8578,29.0864,37.4,100,0,10.36,NO,1620702824
120,bengkulu,-3.8004,102.2655,79.03,89,100,3.49,ID,1620702742
121,yulara,-25.2406,130.9889,69.8,43,0,12.66,AU,1620702824
122,airai,-8.9266,125.4092,71.87,45,97,4.09,TL,1620702824
123,kamaishi,39.2667,141.8833,64.4,45,75,8.05,JP,1620702825
124,cayenne,4.9333,-52.3333,75.99,100,75,5.75,GF,1620702574
125,arraial do cabo,-22.8362,-46.646,64.4,82,0,10.36,BR,1620702825
126,lompoc,34.6391,-120.4579,54.0,87,6,5.75,US,1620702535
127,tiznit,29.5833,-9.5,54.23,87,22,3.83,MA,1620702825
128,pangai,-19.8,-174.35,78.8,65,75,24.16,TO,1620702825
129,port hedland,-7.0349,29.7638,67.35,76,50,6.4,CD,1620702783
130,fortuna,40.5982,-124.1573,55.99,93,1,10.36,US,1620702826
131,uyemskiy,64.4743,40.8524,46.4,100,90,4.47,RU,1620702826
132,flinders,-34.5833,150.8552,69.01,70,43,1.99,AU,1620702826
133,garmsar,35.2182,52.3409,70.5,48,92,5.14,IR,1620702827
134,roald,62.5833,6.1333,55.4,54,75,11.5,NO,1620702827
135,washougal,45.5826,-122.3534,64.4,48,1,5.75,US,1620702739
136,upernavik,72.7868,-56.1549,17.26,90,72,5.64,GL,1620702827
137,vossevangen,60.623,6.4229,51.01,80,89,14.0,NO,1620702827
138,snyder,32.7179,-100.9176,57.2,77,90,10.36,US,1620702828
139,carberry,49.8689,-99.3602,50.0,34,75,6.91,CA,1620702828
140,oktyabrskoye,43.0645,44.7417,37.94,71,2,1.72,RU,1620702828
141,richards bay,46.8361,-95.9123,46.4,36,1,5.75,US,1620702828
142,hofn,64.2539,-15.2082,32.7,59,0,12.57,IS,1620702829
143,esperance,-33.8667,121.9,62.6,94,40,16.11,AU,1620702829
144,zvishavane,-20.3267,30.0665,52.48,74,0,0.6,ZW,1620702829
145,coquimbo,-29.9533,-71.3436,53.6,94,0,1.14,CL,1620702796
146,camacha,33.0833,-16.3333,60.8,63,20,6.91,PT,1620702830
147,new norfolk,6.6518,-10.5932,73.65,95,100,2.37,LR,1620702830
148,mar del plata,43.4002,-4.0094,51.01,76,0,9.22,ES,1620702830
149,port alfred,-7.0349,29.7638,67.35,76,50,6.4,CD,1620702830
150,altay,47.8667,88.1167,63.27,41,46,9.01,CN,1620702831
151,dubbo,-32.25,148.6167,59.0,63,90,13.8,AU,1620702836
152,beisfjord,68.3751,17.5988,35.6,87,96,3.44,NO,1620702836
153,dikson,73.5069,80.5464,31.64,94,100,13.53,RU,1620702836
154,lodwar,3.1191,35.5973,76.41,73,100,6.44,KE,1620702837
155,mys shmidta,62.0589,48.6201,44.31,69,90,6.11,RU,1620702837
156,riosucio,5.4216,-75.7032,68.0,83,40,4.61,CO,1620702837
157,gasa,31.5,34.4667,70.0,100,0,1.92,PS,1620702837
158,monrovia,6.3005,-10.7969,75.81,91,100,5.3,LR,1620702838
159,santo antonio do ica,-0.5854,-80.0049,70.41,94,100,2.68,EC,1620702838
160,bethel,41.3712,-73.414,50.0,81,90,5.03,US,1620702838
161,pontian kecil,8.2811,124.9003,90.0,74,84,0.94,PH,1620702839
162,tabon,9.2388,117.9946,86.36,66,100,1.21,PH,1620702839
163,ixtapa,20.7,-105.2,80.01,83,90,5.75,MX,1620702839
164,mezen,65.8522,44.24,45.07,83,100,7.99,RU,1620702839
165,dharchula,29.85,80.5333,72.64,61,90,3.36,IN,1620702840
166,georgetown,5.4112,100.3354,87.8,79,20,1.14,MY,1620702769
167,tazovskiy,67.4667,78.7,36.25,97,82,14.18,RU,1620702840
168,lebu,-37.6167,-73.65,49.95,80,53,8.79,CL,1620702840
169,batagay-alyta,67.8006,130.4114,23.68,78,100,11.36,RU,1620702841
170,necochea,-38.5473,-58.7368,48.99,92,44,10.54,AR,1620702841
171,codrington,-38.2667,141.9667,53.51,75,100,16.73,AU,1620702841
172,shitkino,56.3703,98.3543,58.82,45,48,2.66,RU,1620702841
173,qaqortoq,60.7167,-46.0333,39.2,56,90,6.91,GL,1620702842
174,kostomuksha,64.571,30.5767,47.89,96,100,8.14,RU,1620702545
175,chapais,49.7834,-74.8492,42.8,81,90,2.3,CA,1620702843
176,bredasdorp,-34.5322,20.0403,55.4,94,0,4.61,ZA,1620702843
